Année;Commune;Taux
2018;Aclens;62
2018;Agiez;76
2018;Aigle;67.5
2018;Allaman;62
2018;Apples;76
2018;Arnex-sur-Nyon;70
2018;Arnex-sur-Orbe;73
2018;Arzier-Le Muids;64
2018;Assens;70
2018;Aubonne;68
2018;Avenches;68
2018;Ballaigues;66
2018;Ballens;73
2018;Bassins;74
2018;Baulmes;78
2018;Bavois;73
2018;Begnins;64
2018;Belmont-sur-Lausanne;69.5
2018;Belmont-sur-Yverdon;76
2018;Bercher;79
2018;Berolle;77
2018;Bettens;70
2018;Bex;71
2018;Bière;70
2018;Bioley-Magnoux;74
2018;Bioley-Orjulaz;68
2018;Blonay;70
2018;Bofflens;69
2018;Bogis-Bossey;70
2018;Bonvillars;55
2018;Borex;58
2018;Bottens;69
2018;Bougy-Villars;66
2018;Boulens;79
2018;Bourg-en-Lavaux;61
2018;Bournens;76
2018;Boussens;69
2018;Bremblens;66
2018;Bretigny-sur-Morrens;81
2018;Bretonnières;72
2018;Buchillon;53
2018;Bullet;73
2018;Bursinel;65.5
2018;Bursins;71
2018;Burtigny;80
2018;Bussigny;63
2018;Bussy-Chardonney;78
2018;Bussy-sur-Moudon;80
2018;Chamblon;66
2018;Champagne;65
2018;Champtauroz;77
2018;Champvent;71
2018;Chardonne;68
2018;Château-d'Oex;83
2018;Chavannes-de-Bogis;59
2018;Chavannes-des-Bois;63
2018;Chavannes-le-Chêne;78
2018;Chavannes-le-Veyron;77
2018;Chavannes-près-Renens;79
2018;Chavannes-sur-Moudon;73
2018;Chavornay;72
2018;Chêne-Pâquier;79
2018;Cheseaux-Noréaz;70
2018;Cheseaux-sur-Lausanne;74.5
2018;Chéserex;57
2018;Chessel;74
2018;Chevilly;74
2018;Chevroux;70
2018;Chexbres;69
2018;Chigny;62
2018;Clarmont;75
2018;Coinsins;51
2018;Commugny;57
2018;Concise;75
2018;Coppet;53
2018;Corbeyrier;70
2018;Corcelles-le-Jorat;77
2018;Corcelles-près-Concise;71
2018;Corcelles-près-Payerne;72
2018;Corseaux;69
2018;Corsier-sur-Vevey;66
2018;Cossonay;71
2018;Cottens (VD);74
2018;Crans (VD);53
2018;Crassier;64
2018;Crissier;65
2018;Cronay;79
2018;Croy;74
2018;Cuarnens;77
2018;Cuarny;79
2018;Cudrefin;59
2018;Cugy (VD);78
2018;Curtilles;75
2018;Daillens;71
2018;Démoret;81
2018;Denens;70
2018;Denges;62
2018;Dizy;79
2018;Dompierre (VD);80
2018;Donneloye;73
2018;Duillier;66
2018;Dully;49
2018;Echallens;74
2018;Echandens;62
2018;Echichens;68
2018;Eclépens;46
2018;Ecublens (VD);64
2018;Epalinges;66
2018;Ependes (VD);75
2018;Essertes;72
2018;Essertines-sur-Rolle;68
2018;Essertines-sur-Yverdon;73
2018;Etagnières;73
2018;Etoy;61
2018;Eysins;61
2018;Faoug;64
2018;Féchy;64
2018;Ferreyres;76
2018;Fey;75
2018;Fiez;69
2018;Fontaines-sur-Grandson;69
2018;Forel;70
2018;Founex;57
2018;Froideville;76
2018;Genolier;55
2018;Giez;66
2018;Gilly;66
2018;Gimel;71.5
2018;Gingins;57
2018;Givrins;67
2018;Gland;62.5
2018;Gollion;74
2018;Goumoëns;77
2018;Grancy;70
2018;Grandcour;77
2018;Grandevent;68
2018;Grandson;69
2018;Grens;62
2018;Gryon;75
2018;Henniez;69
2018;Hermenches;75
2018;Jongny;71
2018;Jorat-Menthue;72
2018;Jorat-Mézières;76
2018;Jouxtens-Mézery;53
2018;Juriens;79
2018;La Chaux;77
2018;La Praz;83
2018;La Rippe;65
2018;La Sarraz;66
2018;La Tour-de-Peilz;64
2018;L'Abbaye;76
2018;L'Abergement;81
2018;Lausanne;79
2018;Lavey-Morcles;71
2018;Lavigny;74.5
2018;Le Brassus;68
2018;Le Chenit;60
2018;Le Lieu;70
2018;Le Mont-sur-Lausanne;75
2018;Le Sentier;70
2018;Le Vaud;75
2018;Les Bioux;79
2018;Les Clées;80
2018;Leysin;78
2018;Lignerolle;80
2018;L'Isle;76
2018;Lonay;55
2018;Longirod;81
2018;L'Orient;70
2018;Lovatens;75
2018;Lucens;69
2018;Luins;60
2018;Lully (VD);61
2018;Lussery-Villars;75
2018;Lussy-sur-Morges;66
2018;Lutry;55.5
2018;Maracon;76
2018;Marchissy;79
2018;Mathod;72
2018;Mauborget;70
2018;Mauraz;78
2018;Mex (VD);61
2018;Mies;49
2018;Missy;72
2018;Moiry;80
2018;Mollens (VD);74
2018;Molondin;81
2018;Montagny-près-Yverdon;65
2018;Montanaire;72
2018;Montcherand;72
2018;Montherod;78
2018;Montilliez;74
2018;Mont-la-Ville;76
2018;Montpreveyres;77
2018;Montreux;65
2018;Montricher;64
2018;Mont-sur-Rolle;65
2018;Morges;68.5
2018;Morrens (VD);74
2018;Moudon;75
2018;Mutrux;78.5
2018;Novalles;76
2018;Noville;78.5
2018;Nyon;61
2018;Ogens;78
2018;Ollon;68
2018;Onnens (VD);65
2018;Oppens;81
2018;Orbe;77
2018;Orges;74
2018;Ormont-Dessous;78.5
2018;Ormont-Dessus;76
2018;Orny;73
2018;Oron;69
2018;Orzens;79
2018;Oulens-sous-Echallens;71
2018;Pailly;77.5
2018;Pampigny;75
2018;Paudex;61.5
2018;Payerne;75
2018;Penthalaz;74
2018;Penthaz;71
2018;Penthéréaz;78
2018;Perroy;60
2018;Poliez-Pittet;71
2018;Pompaples;66
2018;Pomy;71
2018;Prangins;56
2018;Premier;81
2018;Préverenges;64
2018;Prévonloup;74
2018;Prilly;73.5
2018;Provence;81
2018;Puidoux;70
2018;Pully;61
2018;Rances;78
2018;Renens (VD);78.5
2018;Rennaz;67.5
2018;Reverolle;76
2018;Rivaz;63.5
2018;Roche (VD);68
2018;Rolle;59.5
2018;Romainmôtier-Envy;81
2018;Romanel-sur-Lausanne;70
2018;Romanel-sur-Morges;56
2018;Ropraz;77.5
2018;Rossenges;75
2018;Rossinière;81
2018;Rougemont;74
2018;Rovray;73
2018;Rueyres;73
2018;Saint-Barthélemy (VD);77
2018;Saint-Cergue;66
2018;Sainte-Croix;70
2018;Saint-George;71
2018;Saint-Légier-La Chiésaz;70
2018;Saint-Livres;69
2018;Saint-Oyens;81
2018;Saint-Prex;55
2018;Saint-Saphorin;70
2018;Saint-Sulpice (VD);55
2018;Saubraz;80
2018;Savigny;69
2018;Senarclens;68.5
2018;Sergey;78
2018;Servion;69
2018;Sévery;75
2018;Signy-Avenex;58
2018;Suchy;70
2018;Sullens;70
2018;Suscévaz;72
2018;Syens;75.6
2018;Tannay;61
2018;Tartegnin;81
2018;Tévenon;73
2018;Tolochenaz;65
2018;Trélex;57
2018;Trey;80
2018;Treycovagnes;75
2018;Treytorrens;84
2018;Ursins;77
2018;Valbroye;73
2018;Valeyres-sous-Montagny;72
2018;Valeyres-sous-Rances;65
2018;Valeyres-sous-Ursins;79
2018;Vallorbe;73
2018;Vaulion;81
2018;Vaux-sur-Morges;56
2018;Vevey;76
2018;Veytaux;71
2018;Vich;67
2018;Villars-Epeney;60
2018;Villars-le-Comte;70
2018;Villars-le-Terroir;73
2018;Villars-Sainte-Croix;59
2018;Villars-sous-Yens;76
2018;Villarzel;79
2018;Villeneuve (VD);69
2018;Vinzel;67
2018;Vuarrens;75
2018;Vucherens;79
2018;Vufflens-la-Ville;67
2018;Vufflens-le-Château;55
2018;Vugelles-La Mothe;70
2018;Vuiteboeuf;77
2018;Vulliens;78
2018;Vullierens;76
2018;Vully-les-Lacs;67
2018;Yens;73
2018;Yverdon-les-Bains;76.5
2018;Yvonand;73
2018;Yvorne;71.5
