Année;Revenu ;Impôt;Supplément
2018;0;0;0
2018;30'800.00;25;1
2018;51'000.00;228;2
2018;58'500.00;379;3
2018;75'400.00;887;4
2018;90'400.00;1'488.00;5
2018;103'500.00;2'144.00;6
2018;114'800.00;2'823.00;7
2018;124'300.00;3'489.00;8
2018;131'800.00;4'090.00;9
2018;137'400.00;4'595.00;10
2018;141'300.00;4'986.00;11
2018;143'200.00;5'196.00;12
2018;145'100.00;5'425.00;13
2018;895'900.00;103'028.50;11.5
