Année;Fortune;Impôt;Supplément
2021;0;0;0.24
2021;33'000.00;7.9;0.97
2021;89'000.00;62.2;1.69
2021;167'000.00;194;2.42
2021;335'000.00;600.55;3.15
2021;670'000.00;1'655.80;3.39
