Année;Commune;Taux
2021;Aclens;62
2021;Agiez;76
2021;Aigle;66
2021;Allaman;60
2021;Apples;74
2021;Arnex-sur-Nyon;70
2021;Arnex-sur-Orbe;71
2021;Arzier-Le Muids;64
2021;Assens;70
2021;Aubonne;70
2021;Avenches;66.5
2021;Ballaigues;65
2021;Ballens;73
2021;Bassins;72.5
2021;Baulmes;76.5
2021;Bavois;73
2021;Begnins;62.5
2021;Belmont-sur-Lausanne;72
2021;Belmont-sur-Yverdon;70
2021;Bercher;79
2021;Berolle;75.5
2021;Bettens;70
2021;Bex;71
2021;Bière;69
2021;Bioley-Magnoux;72
2021;Bioley-Orjulaz;68
2021;Blonay;68.5
2021;Bofflens;69
2021;Bogis-Bossey;74.5
2021;Bonvillars;55
2021;Borex;57
2021;Bottens;72.5
2021;Bougy-Villars;64.5
2021;Boulens;71.5
2021;Bourg-en-Lavaux;62.5
2021;Bournens;72
2021;Boussens;67.5
2021;Bremblens;68
2021;Bretigny-sur-Morrens;78
2021;Bretonnières;70.5
2021;Buchillon;52
2021;Bullet;71.5
2021;Bursinel;62
2021;Bursins;71
2021;Burtigny;80
2021;Bussigny;62.5
2021;Bussy-Chardonney;72
2021;Bussy-sur-Moudon;78.5
2021;Chamblon;66
2021;Champagne;65
2021;Champtauroz;77
2021;Champvent;70
2021;Chardonne;68
2021;Château-d'Oex;81.5
2021;Chavannes-de-Bogis;58
2021;Chavannes-des-Bois;68
2021;Chavannes-le-Chêne;75
2021;Chavannes-le-Veyron;75
2021;Chavannes-près-Renens;77.5
2021;Chavannes-sur-Moudon;70
2021;Chavornay;70.5
2021;Chêne-Pâquier;79
2021;Cheseaux-Noréaz;67
2021;Cheseaux-sur-Lausanne;73
2021;Chéserex;57
2021;Chessel;74
2021;Chevilly;72.5
2021;Chevroux;68.5
2021;Chexbres;67.5
2021;Chigny;62
2021;Clarmont;73.5
2021;Coinsins;51
2021;Commugny;55.5
2021;Concise;75
2021;Coppet;53
2021;Corbeyrier;74
2021;Corcelles-le-Jorat;77
2021;Corcelles-près-Concise;69
2021;Corcelles-près-Payerne;68.5
2021;Corseaux;67.5
2021;Corsier-sur-Vevey;64.5
2021;Cossonay;69.5
2021;Cottens (VD);74
2021;Crans (VD);56
2021;Crassier;68
2021;Crissier;63.5
2021;Cronay;77
2021;Croy;74
2021;Cuarnens;77
2021;Cuarny;77
2021;Cudrefin;59
2021;Cugy (VD);78
2021;Curtilles;73
2021;Daillens;66
2021;Démoret;81
2021;Denens;68
2021;Denges;62
2021;Dizy;75
2021;Dompierre (VD);78
2021;Donneloye;73
2021;Duillier;66
2021;Dully;49
2021;Echallens;72.5
2021;Echandens;60.5
2021;Echichens;66
2021;Eclépens;46
2021;Ecublens (VD);62.5
2021;Epalinges;64.5
2021;Ependes (VD);73.5
2021;Essertes;71.5
2021;Essertines-sur-Rolle;66.5
2021;Essertines-sur-Yverdon;73
2021;Etagnières;73
2021;Etoy;60
2021;Eysins;59.5
2021;Faoug;65
2021;Féchy;64
2021;Ferreyres;76
2021;Fey;75
2021;Fiez;69
2021;Fontaines-sur-Grandson;69
2021;Forel (Lavaux);69
2021;Founex;57
2021;Froideville;72
2021;Genolier;55
2021;Giez;66
2021;Gilly;64.5
2021;Gimel;74.5
2021;Gingins;60
2021;Givrins;67
2021;Gland;61
2021;Gollion;74
2021;Goumoëns;75.5
2021;Grancy;70
2021;Grandcour;73.5
2021;Grandevent;68
2021;Grandson;69
2021;Grens;62
2021;Gryon;73.5
2021;Henniez;69
2021;Hermenches;73.5
2021;Jongny;69.5
2021;Jorat-Menthue;70.5
2021;Jorat-Mézières;73
2021;Jouxtens-Mézery;59
2021;Juriens;79
2021;La Chaux (Cossonay);76
2021;La Praz;83
2021;La Rippe;64
2021;La Sarraz;66
2021;La Tour-de-Peilz;64
2021;L'Abbaye;76
2021;L'Abergement;81
2021;Lausanne;78.5
2021;Lavey-Morcles;71.5
2021;Lavigny;73
2021;Le Brassus;66.5
2021;Le Chenit;58.5
2021;Le Lieu;70
2021;Le Mont-sur-Lausanne;73.5
2021;Le Sentier;68.5
2021;Le Vaud;74
2021;Les Bioux;80
2021;Les Clées;80
2021;Leysin;78
2021;Lignerolle;78.5
2021;L'Isle;75
2021;Lonay;55
2021;Longirod;77.5
2021;L'Orient;68.5
2021;Lovatens;75
2021;Lucens;67.5
2021;Luins;58.5
2021;Lully (VD);61
2021;Lussery-Villars;75
2021;Lussy-sur-Morges;64.5
2021;Lutry;54
2021;Maracon;74.5
2021;Marchissy;77.5
2021;Mathod;72
2021;Mauborget;70
2021;Mauraz;77
2021;Mex (VD);59.5
2021;Mies;52
2021;Missy;72
2021;Moiry;77.5
2021;Mollens (VD);74
2021;Molondin;81
2021;Montagny-près-Yverdon;64.5
2021;Montanaire;70
2021;Montcherand;72
2021;Montilliez;72.5
2021;Mont-la-Ville;76
2021;Montpreveyres;75.5
2021;Montreux;65
2021;Montricher;64
2021;Mont-sur-Rolle;63.5
2021;Morges;67
2021;Morrens (VD);74
2021;Moudon;72.5
2021;Mutrux;80
2021;Novalles;76
2021;Noville;78.5
2021;Nyon;61
2021;Ogens;78
2021;Ollon;68
2021;Onnens (VD);63.5
2021;Oppens;81
2021;Orbe;75.5
2021;Orges;74
2021;Ormont-Dessous;77
2021;Ormont-Dessus;76
2021;Orny;73
2021;Oron;69
2021;Orzens;79
2021;Oulens-sous-Echallens;70
2021;Pailly;76
2021;Pampigny;73
2021;Paudex;66.5
2021;Payerne;73
2021;Penthalaz;74
2021;Penthaz;69.5
2021;Penthéréaz;74
2021;Perroy;58.5
2021;Poliez-Pittet;73
2021;Pompaples;66
2021;Pomy;71
2021;Prangins;55
2021;Premier;79.5
2021;Préverenges;62.5
2021;Prévonloup;72.5
2021;Prilly;72.5
2021;Provence;81
2021;Puidoux;68.5
2021;Pully;61
2021;Rances;76.5
2021;Renens (VD);77
2021;Rennaz;69
2021;Reverolle;74
2021;Rivaz;62
2021;Roche (VD);68
2021;Rolle;59.5
2021;Romainmôtier-Envy;81
2021;Romanel-sur-Lausanne;70.5
2021;Romanel-sur-Morges;56
2021;Ropraz;77.5
2021;Rossenges;75
2021;Rossinière;81
2021;Rougemont;74
2021;Rovray;71.5
2021;Rueyres;73
2021;Saint-Barthélemy (VD);75
2021;Saint-Cergue;66
2021;Sainte-Croix;70
2021;Saint-George;69.5
2021;Saint-Légier-La Chiésaz;68.5
2021;Saint-Livres;69
2021;Saint-Oyens;81
2021;Saint-Prex;59
2021;Saint-Saphorin (Lavaux);72
2021;Saint-Sulpice (VD);55
2021;Saubraz;80
2021;Savigny;69
2021;Senarclens;68.5
2021;Sergey;78
2021;Servion;69
2021;Sévery;73
2021;Signy-Avenex;58
2021;Suchy;70
2021;Sullens;68.5
2021;Suscévaz;72
2021;Syens;65
2021;Tannay;60.5
2021;Tartegnin;79
2021;Tévenon;71.5
2021;Tolochenaz;64
2021;Trélex;55.5
2021;Trey;78
2021;Treycovagnes;75
2021;Treytorrens (Payerne);82.5
2021;Ursins;75
2021;Valbroye;70.5
2021;Valeyres-sous-Montagny;70.5
2021;Valeyres-sous-Rances;68
2021;Valeyres-sous-Ursins;77
2021;Vallorbe;71.5
2021;Vaulion;81
2021;Vaux-sur-Morges;56
2021;Vevey;74.5
2021;Veytaux;69.5
2021;Vich;63
2021;Villars-Epeney;60
2021;Villars-le-Comte;70
2021;Villars-le-Terroir;76
2021;Villars-Sainte-Croix;60.5
2021;Villars-sous-Yens;76
2021;Villarzel;75
2021;Villeneuve (VD);67.5
2021;Vinzel;67
2021;Vuarrens;73.5
2021;Vucherens;77
2021;Vufflens-la-Ville;67
2021;Vufflens-le-Château;58.5
2021;Vugelles-La Mothe;70
2021;Vuiteboeuf;75
2021;Vulliens;76
2021;Vullierens;76
2021;Vully-les-Lacs;67
2021;Yens;71.5
2021;Yverdon-les-Bains;75
2021;Yvonand;71.5
2021;Yvorne;71.5
