Année;Revenu ;Impôt;Supplément
2022;0;0;0
2022;30'800.00;25;1
2022;51'000.00;228;2
2022;58'500.00;379;3
2022;75'400.00;887;4
2022;90'400.00;1'488.00;5
2022;103'500.00;2'144.00;6
2022;114'800.00;2'823.00;7
2022;124'300.00;3'489.00;8
2022;131'800.00;4'090.00;9
2022;137'400.00;4'595.00;10
2022;141'300.00;4'986.00;11
2022;143'200.00;5'196.00;12
2022;145'100.00;5'425.00;13
2022;895'900.00;103'028.50;11.5
