Année;Commune;Taux
2022;Aclens;62
2022;Agiez;76
2022;Aigle;66
2022;Allaman;65
2022;Arnex-sur-Nyon;70
2022;Arnex-sur-Orbe;71
2022;Arzier-Le Muids;64
2022;Assens;70
2022;Aubonne;70
2022;Avenches;66.5
2022;Ballaigues;65
2022;Ballens;73
2022;Bassins;72.5
2022;Baulmes;76.5
2022;Bavois;72
2022;Begnins;62.5
2022;Belmont-sur-Lausanne;72
2022;Belmont-sur-Yverdon;70
2022;Bercher;79
2022;Berolle;75.5
2022;Bettens;70
2022;Bex;71
2022;Bière;69
2022;Bioley-Magnoux;72
2022;Blonay - Saint-Légier;68.5
2022;Bofflens;69
2022;Bogis-Bossey;74.5
2022;Bonvillars;56
2022;Borex;57
2022;Bottens;72.5
2022;Bougy-Villars;64.5
2022;Boulens;71.5
2022;Bourg-en-Lavaux;62.5
2022;Bournens;68
2022;Boussens;66
2022;Bremblens;68
2022;Bretigny-sur-Morrens;78
2022;Bretonnières;70.5
2022;Buchillon;52
2022;Bullet;71.5
2022;Bursinel;62
2022;Bursins;71
2022;Burtigny;78.5
2022;Bussigny;62.5
2022;Bussy-sur-Moudon;78.5
2022;Chamblon;66
2022;Champagne;65
2022;Champtauroz;77
2022;Champvent;70
2022;Chardonne;68
2022;Château-d'Oex;81.5
2022;Chavannes-de-Bogis;58
2022;Chavannes-des-Bois;68
2022;Chavannes-le-Chêne;75
2022;Chavannes-le-Veyron;75
2022;Chavannes-près-Renens;77.5
2022;Chavannes-sur-Moudon;70
2022;Chavornay;70.5
2022;Chêne-Pâquier;75
2022;Cheseaux-Noréaz;67
2022;Cheseaux-sur-Lausanne;73
2022;Chéserex;57
2022;Chessel;65
2022;Chevilly;72.5
2022;Chevroux;68.5
2022;Chexbres;67.5
2022;Chigny;62
2022;Clarmont;72
2022;Coinsins;51
2022;Commugny;57
2022;Concise;75
2022;Coppet;53
2022;Corbeyrier;74
2022;Corcelles-le-Jorat;75
2022;Corcelles-près-Concise;69
2022;Corcelles-près-Payerne;68.5
2022;Corseaux;67.5
2022;Corsier-sur-Vevey;64.5
2022;Cossonay;68
2022;Crans (VD);59
2022;Crassier;66.5
2022;Crissier;63.5
2022;Cronay;77
2022;Croy;74
2022;Cuarnens;77
2022;Cuarny;77
2022;Cudrefin;59
2022;Cugy (VD);76
2022;Curtilles;73
2022;Daillens;66
2022;Démoret;78
2022;Denens;68
2022;Denges;62
2022;Dizy;75
2022;Dompierre (VD);78
2022;Donneloye;73
2022;Duillier;66
2022;Dully;53
2022;Echallens;72.5
2022;Echandens;60.5
2022;Echichens;66
2022;Eclépens;46
2022;Ecublens (VD);62.5
2022;Epalinges;64.5
2022;Ependes (VD);73.5
2022;Essertines-sur-Rolle;66.5
2022;Essertines-sur-Yverdon;74
2022;Etagnières;73
2022;Etoy;60
2022;Eysins;59.5
2022;Faoug;65
2022;Féchy;64
2022;Ferreyres;76
2022;Fey;75
2022;Fiez;69
2022;Fontaines-sur-Grandson;69
2022;Forel (Lavaux);69
2022;Founex;57
2022;Froideville;72
2022;Genolier;55
2022;Giez;66
2022;Gilly;64.5
2022;Gimel;74.5
2022;Gingins;60
2022;Givrins;67
2022;Gland;61
2022;Gollion;74
2022;Goumoëns;75.5
2022;Grancy;70
2022;Grandcour;73.5
2022;Grandevent;71
2022;Grandson;69
2022;Grens;62
2022;Gryon;73.5
2022;Hautemorges;72.5
2022;Henniez;69
2022;Hermenches;73.5
2022;Jongny;69.5
2022;Jorat-Menthue;70.5
2022;Jorat-Mézières;73
2022;Jouxtens-Mézery;59
2022;Juriens;79
2022;La Chaux (Cossonay);76
2022;La Praz;83
2022;La Rippe;64
2022;La Sarraz;66
2022;La Tour-de-Peilz;64
2022;L'Abbaye;76
2022;L'Abergement;80
2022;Lausanne;78.5
2022;Lavey-Morcles;71.5
2022;Lavigny;73
2022;Le Brassus;66.5
2022;Le Chenit;58.5
2022;Le Lieu;70
2022;Le Mont-sur-Lausanne;73.5
2022;Le Sentier;68.5
2022;Le Vaud;74
2022;Les Bioux;79
2022;Les Clées;80
2022;Leysin;78
2022;Lignerolle;78.5
2022;L'Isle;75
2022;Lonay;55
2022;Longirod;77.5
2022;L'Orient;68.5
2022;Lovatens;75
2022;Lucens;69.5
2022;Luins;58.5
2022;Lully (VD);61
2022;Lussery-Villars;75
2022;Lussy-sur-Morges;64.5
2022;Lutry;54
2022;Maracon;74.5
2022;Marchissy;77.5
2022;Mathod;72
2022;Mauborget;70
2022;Mauraz;77
2022;Mex (VD);59.5
2022;Mies;52
2022;Missy;72
2022;Moiry;77
2022;Mollens (VD);74
2022;Molondin;81
2022;Montagny-près-Yverdon;64.5
2022;Montanaire;70
2022;Montcherand;72
2022;Montilliez;72.5
2022;Mont-la-Ville;76
2022;Montpreveyres;75.5
2022;Montreux;65
2022;Montricher;64
2022;Mont-sur-Rolle;63.5
2022;Morges;67
2022;Morrens (VD);74
2022;Moudon;72.5
2022;Mutrux;80
2022;Novalles;76
2022;Noville;75
2022;Nyon;61
2022;Ogens;78
2022;Ollon;68
2022;Onnens (VD);63.5
2022;Oppens;81
2022;Orbe;75.5
2022;Orges;74
2022;Ormont-Dessous;77
2022;Ormont-Dessus;76
2022;Orny;73
2022;Oron;69
2022;Orzens;79
2022;Oulens-sous-Echallens;71
2022;Pailly;76
2022;Paudex;66.5
2022;Payerne;73
2022;Penthalaz;74
2022;Penthaz;69.5
2022;Penthéréaz;74
2022;Perroy;58.5
2022;Poliez-Pittet;73
2022;Pompaples;66
2022;Pomy;71
2022;Prangins;55
2022;Premier;79.5
2022;Préverenges;62.5
2022;Prévonloup;72.5
2022;Prilly;72.5
2022;Provence;81
2022;Puidoux;68.5
2022;Pully;61
2022;Rances;76.5
2022;Renens (VD);77
2022;Rennaz;69
2022;Rivaz;62
2022;Roche (VD);68
2022;Rolle;59.5
2022;Romainmôtier-Envy;81
2022;Romanel-sur-Lausanne;70.5
2022;Romanel-sur-Morges;56
2022;Ropraz;77.5
2022;Rossenges;75
2022;Rossinière;81
2022;Rougemont;79
2022;Rovray;71.5
2022;Rueyres;73
2022;Saint-Barthélemy (VD);75
2022;Saint-Cergue;66
2022;Sainte-Croix;70
2022;Saint-George;69.5
2022;Saint-Livres;69
2022;Saint-Oyens;79
2022;Saint-Prex;59
2022;Saint-Saphorin (Lavaux);72
2022;Saint-Sulpice (VD);55
2022;Saubraz;80
2022;Savigny;69
2022;Senarclens;68.5
2022;Sergey;78
2022;Servion;69
2022;Signy-Avenex;58
2022;Suchy;70
2022;Sullens;64
2022;Suscévaz;72
2022;Syens;65
