Année;Fortune;Impôt;Supplément
2022;0;0;0.24
2022;33'000.00;7.9;0.97
2022;89'000.00;62.2;1.69
2022;167'000.00;194;2.42
2022;335'000.00;600.55;3.15
2022;670'000.00;1'655.80;3.39
