Année;Revenu;Impôt;Supplément
2015;0;0;0
2015;17'800.00;25.41;0.77
2015;31'700.00;132.53;0.88
2015;41'500.00;220.54;2.64
2015;55'300.00;585.17;2.97
2015;72'600.00;1'101.94;5.94
2015;78'200.00;1'435.20;6.6
2015;103'700.00;3'120.40;8.8
2015;134'700.00;5'850.60;11
2015;176'100.00;10'406.80;13.2
2015;755'300.00;86'859.50;11.5
