Année;Revenu ;Impôt;Supplément
2015;0;0;0
2015;30'800.00;25;1
2015;51'000.00;228;2
2015;58'500.00;379;3
2015;75'400.00;887;4
2015;90'400.00;1'488.00;5
2015;103'500.00;2'144.00;6
2015;114'800.00;2'823.00;7
2015;124'300.00;3'489.00;8
2015;131'800.00;4'090.00;9
2015;137'400.00;4'595.00;10
2015;141'300.00;4'986.00;11
2015;143'200.00;5'196.00;12
2015;145'100.00;5'425.00;13
2015;895'900.00;103'028.50;11.5
