Année;Commune;Taux
2015;Aclens;62
2015;Agiez;76
2015;Aigle;67.5
2015;Allaman;62
2015;Apples;71
2015;Arnex-sur-Nyon;65
2015;Arnex-sur-Orbe;73
2015;Arzier-Le Muids;64
2015;Assens;70
2015;Aubonne;68
2015;Avenches;68
2015;Ballaigues;66
2015;Ballens;69
2015;Bassins;71
2015;Baulmes;78
2015;Bavois;73
2015;Begnins;67
2015;Belmont-sur-Lausanne;69.5
2015;Belmont-sur-Yverdon;76
2015;Bercher;79
2015;Berolle;77
2015;Bettens;70
2015;Bex;71
2015;Bière;68
2015;Bioley-Magnoux;74
2015;Bioley-Orjulaz;66
2015;Blonay;70
2015;Bofflens;69
2015;Bogis-Bossey;64
2015;Bonvillars;55
2015;Borex;55
2015;Bottens;69
2015;Bougy-Villars;62
2015;Boulens;79
2015;Bourg-en-Lavaux;61
2015;Bournens;80
2015;Boussens;69
2015;Bremblens;66
2015;Brenles;78
2015;Bretigny-sur-Morrens;73
2015;Bretonnières;72
2015;Buchillon;53
2015;Bullet;70
2015;Bursinel;63.5
2015;Bursins;71
2015;Burtigny;80
2015;Bussigny;62
2015;Bussy-Chardonney;78
2015;Bussy-sur-Moudon;80
2015;Carrouge;76
2015;Chamblon;66
2015;Champagne;63
2015;Champtauroz;77
2015;Champvent;71
2015;Chardonne;66
2015;Château-d'Oex;83
2015;Chavannes-de-Bogis;59
2015;Chavannes-des-Bois;61
2015;Chavannes-le-Chêne;78
2015;Chavannes-le-Veyron;77
2015;Chavannes-près-Renens;79
2015;Chavannes-sur-Moudon;72
2015;Chavornay;72
2015;Chêne-Pâquier;79
2015;Chesalles-sur-Moudon;75
2015;Cheseaux-Noréaz;70
2015;Cheseaux-sur-Lausanne;74.5
2015;Chéserex;52
2015;Chessel;76
2015;Chevilly;74
2015;Chevroux;70
2015;Chexbres;64
2015;Chigny;62
2015;Clarmont;75
2015;Coinsins;41
2015;Commugny;58
2015;Concise;75
2015;Coppet;53
2015;Corbeyrier;70
2015;Corcelles-le-Jorat;79
2015;Corcelles-près-Concise;71
2015;Corcelles-près-Payerne;72
2015;Corcelles-sur-Chavornay;76
2015;Corseaux;64
2015;Corsier-sur-Vevey;66
2015;Cossonay;69.3
2015;Cottens (VD);72
2015;Crans (VD);53
2015;Crassier;64
2015;Cremin;77
2015;Crissier;65
2015;Cronay;81
2015;Croy;74
2015;Cuarnens;77
2015;Cuarny;81
2015;Cudrefin;59
2015;Cugy (VD);67
2015;Curtilles;72
2015;Daillens;71
2015;Démoret;81
2015;Denens;68
2015;Denges;62
2015;Dizy;74
2015;Dompierre (VD);80
2015;Donneloye;73
2015;Duillier;66
2015;Dully;49
2015;Echallens;74
2015;Echandens;62
2015;Echichens;68
2015;Eclépens;46
2015;Ecublens (VD);62
2015;Epalinges;66
2015;Ependes (VD);75
2015;Essertes;70
2015;Essertines-sur-Rolle;68
2015;Essertines-sur-Yverdon;73
2015;Essert-Pittet;75
2015;Etagnières;73
2015;Etoy;61
2015;Eysins;61
2015;Faoug;61
2015;Féchy;64
2015;Ferlens;77
2015;Ferreyres;76
2015;Fey;75
2015;Fiez;69
2015;Fontaines-sur-Grandson;69
2015;Forel;68
2015;Forel-sur-Lucens;75
2015;Founex;57
2015;Froideville;76
2015;Genolier;55
2015;Giez;66
2015;Gilly;66
2015;Gimel;71.5
2015;Gingins;57
2015;Givrins;61
2015;Gland;62.5
2015;Gollion;74
2015;Goumoëns;77
2015;Grancy;70
2015;Grandcour;79.5
2015;Grandevent;68
2015;Grandson;69
2015;Grens;57
2015;Gryon;75
2015;Henniez;67
2015;Hermenches;75
2015;Jongny;69
2015;Jorat-Menthue;72
2015;Jouxtens-Mézery;53
2015;Juriens;79
2015;La Chaux;77
2015;La Praz;83
2015;La Rippe;65
2015;La Sarraz;64
2015;La Tour-de-Peilz;64
2015;L'Abbaye;76
2015;L'Abergement;81
2015;Lausanne;79
2015;Lavey-Morcles;71
2015;Lavigny;74.5
2015;Le Brassus;70
2015;Le Chenit;60
2015;Le Lieu;65
2015;Le Mont-sur-Lausanne;75
2015;Le Sentier;70
2015;Le Vaud;75
2015;Les Bioux;79
2015;Les Clées;80
2015;Leysin;78
2015;Lignerolle;81
2015;L'Isle;76
2015;Lonay;55
2015;Longirod;81
2015;L'Orient;70
2015;Lovatens;75
2015;Lucens;66
2015;Luins;60
2015;Lully (VD);61
2015;Lussery-Villars;68
2015;Lussy-sur-Morges;66
2015;Lutry;56
2015;Maracon;76
2015;Marchissy;81
2015;Mathod;74
2015;Mauborget;70
2015;Mauraz;74
2015;Mex (VD);61
