Année;Revenu ;Impôt;Supplément
2014;0;0;0
2014;30'800.00;25;1
2014;51'000.00;228;2
2014;58'500.00;379;3
2014;75'400.00;887;4
2014;90'400.00;1'488.00;5
2014;103'500.00;2'144.00;6
2014;114'800.00;2'823.00;7
2014;124'300.00;3'489.00;8
2014;131'800.00;4'090.00;9
2014;137'400.00;4'595.00;10
2014;141'300.00;4'986.00;11
2014;143'200.00;5'196.00;12
2014;145'100.00;5'425.00;13
2014;895'900.00;103'028.50;11.5
