Année;Fortune;Impôt;Supplément
2014;0;0;0.24
2014;33'000.00;7.9;0.97
2014;89'000.00;62.2;1.69
2014;167'000.00;194;2.42
2014;335'000.00;600.55;3.15
2014;670'000.00;1'655.80;3.39
