Année;Commune;Taux
2014;Aclens;62
2014;Agiez;76
2014;Aigle;67.5
2014;Allaman;61
2014;Apples;71
2014;Arnex-sur-Nyon;63
2014;Arnex-sur-Orbe;73
2014;Arzier-Le Muids;64
2014;Assens;70
2014;Aubonne;68
2014;Avenches;68
2014;Ballaigues;66
2014;Ballens;69
2014;Bassins;70
2014;Baulmes;78
2014;Bavois;73
2014;Begnins;67
2014;Belmont-sur-Lausanne;69.5
2014;Belmont-sur-Yverdon;76
2014;Bercher;79
2014;Berolle;77
2014;Bettens;70
2014;Bex;71
2014;Bière;68
2014;Bioley-Magnoux;74
2014;Bioley-Orjulaz;66
2014;Blonay;72
2014;Bofflens;69
2014;Bogis-Bossey;64
2014;Bonvillars;55
2014;Borex;57
2014;Bottens;69
2014;Bougy-Villars;62
2014;Boulens;79
2014;Bourg-en-Lavaux;61
2014;Bournens;80
2014;Boussens;69
2014;Bremblens;66
2014;Brenles;78
2014;Bretigny-sur-Morrens;73
2014;Bretonnières;70
2014;Buchillon;53
2014;Bullet;70
2014;Bursinel;61.5
2014;Bursins;71
2014;Burtigny;76
2014;Bussigny;62
2014;Bussy-Chardonney;72
2014;Bussy-sur-Moudon;80
2014;Carrouge;75
2014;Chamblon;66
2014;Champagne;63
2014;Champtauroz;77
2014;Champvent;71
2014;Chardonne;66
2014;Château-d'Oex;83
2014;Chavannes-de-Bogis;59
2014;Chavannes-des-Bois;61
2014;Chavannes-le-Chêne;78
2014;Chavannes-le-Veyron;77
2014;Chavannes-près-Renens;79
2014;Chavannes-sur-Moudon;72
2014;Chavornay;72
2014;Chêne-Pâquier;79
2014;Chesalles-sur-Moudon;75
2014;Cheseaux-Noréaz;64
2014;Cheseaux-sur-Lausanne;74.5
2014;Chéserex;52
2014;Chessel;76
2014;Chevilly;74
2014;Chevroux;70
2014;Chexbres;64
2014;Chigny;62
2014;Clarmont;75
2014;Coinsins;39
2014;Commugny;58
2014;Concise;75
2014;Coppet;53
2014;Corbeyrier;70
2014;Corcelles-le-Jorat;79
2014;Corcelles-près-Concise;71
2014;Corcelles-près-Payerne;72
2014;Corcelles-sur-Chavornay;76
2014;Corseaux;64
2014;Corsier-sur-Vevey;66
2014;Cossonay;67.3
2014;Cottens (VD);72
2014;Crans (VD);53
2014;Crassier;64
2014;Cremin;77
2014;Crissier;65
2014;Cronay;81
2014;Croy;74
2014;Cuarnens;77
2014;Cuarny;81
2014;Cudrefin;59
2014;Cugy (VD);67
2014;Curtilles;72
2014;Daillens;71
2014;Démoret;81
2014;Denens;68
2014;Denges;62
2014;Dizy;74
2014;Dompierre (VD);80
2014;Donneloye;73
2014;Duillier;66
2014;Dully;49
2014;Echallens;74
2014;Echandens;62
2014;Echichens;68
2014;Eclépens;46
2014;Ecublens (VD);62
2014;Epalinges;66
2014;Ependes (VD);75
2014;Essertes;70
2014;Essertines-sur-Rolle;68
2014;Essertines-sur-Yverdon;73
2014;Essert-Pittet;75
2014;Etagnières;73
2014;Etoy;61
2014;Eysins;61
2014;Faoug;61
2014;Féchy;64
2014;Ferlens;77
2014;Ferreyres;76
2014;Fey;75
2014;Fiez;69
2014;Fontaines-sur-Grandson;69
2014;Forel;66
2014;Forel-sur-Lucens;75
2014;Founex;57
2014;Froideville;76
2014;Genolier;55
2014;Giez;66
2014;Gilly;66
2014;Gimel;71.5
2014;Gingins;51
2014;Givrins;61
2014;Gland;62.5
2014;Gollion;74
2014;Goumoëns;77
2014;Grancy;70
2014;Grandcour;79.5
2014;Grandevent;66
2014;Grandson;69
2014;Grens;57
2014;Gryon;75
2014;Henniez;67
2014;Hermenches;71
2014;Jongny;69
2014;Jorat-Menthue;72
2014;Jouxtens-Mézery;55
2014;Juriens;79
2014;La Chaux;77
2014;La Praz;83
2014;La Rippe;65
2014;La Sarraz;64
2014;La Tour-de-Peilz;64
2014;L'Abbaye;76
2014;L'Abergement;81
2014;Lausanne;79
2014;Lavey-Morcles;71
2014;Lavigny;74.5
2014;Le Brassus;70
2014;Le Chenit;60
2014;Le Lieu;65
2014;Le Mont-sur-Lausanne;75
2014;Le Sentier;70
2014;Le Vaud;75
2014;Les Bioux;79
2014;Les Clées;80
2014;Leysin;78
2014;Lignerolle;81
2014;L'Isle;72
2014;Lonay;55
2014;Longirod;81
2014;L'Orient;70
2014;Lovatens;71
2014;Lucens;66
2014;Luins;60
2014;Lully (VD);61
2014;Lussery-Villars;65
2014;Lussy-sur-Morges;66
2014;Lutry;56
2014;Maracon;76
2014;Marchissy;81
2014;Mathod;74
2014;Mauborget;70
2014;Mauraz;74
2014;Mex (VD);61
2014;Mézières;76
2014;Mies;52
2014;Missy;72
2014;Moiry;81
2014;Mollens (VD);74
2014;Molondin;81
2014;Montagny-près-Yverdon;61
2014;Montanaire;72
2014;Montcherand;69
2014;Montherod;74
2014;Montilliez;74
2014;Mont-la-Ville;76
2014;Montpreveyres;79
2014;Montreux;66
2014;Montricher;64
2014;Mont-sur-Rolle;63
2014;Morges;68.5
2014;Morrens (VD);71
2014;Moudon;75
2014;Mutrux;78.5
2014;Novalles;76
2014;Noville;78.5
2014;Nyon;61
2014;Ogens;78
2014;Ollon;68
2014;Onnens;65
2014;Oppens (VD);81
2014;Orbe;69
2014;Orges;74
2014;Ormont-Dessous;78.5
2014;Ormont-Dessus;74
2014;Orny;73
2014;Oron;69
2014;Orzens;79
2014;Oulens-sous-Echallens;74
2014;Pailly;77.5
2014;Pampigny;75
2014;Paudex;61.5
2014;Payerne;73
2014;Penthalaz;74
2014;Penthaz;71
2014;Penthéréaz;78
2014;Perroy;58
2014;Poliez-Pittet;71
2014;Pompaples;66
2014;Pomy;71
2014;Prangins;56
2014;Premier;81
2014;Préverenges;64
2014;Prévonloup;74
2014;Prilly;73.5
2014;Provence;81
2014;Puidoux;68
2014;Pully;63
2014;Rances;78
2014;Renens (VD);78.5
2014;Rennaz;63.5
2014;Reverolle;78
2014;Rivaz;63.5
2014;Roche (VD);68
2014;Rolle;59.5
2014;Romainmôtier-Envy;76
2014;Romanel-sur-Lausanne;70
2014;Romanel-sur-Morges;56
2014;Ropraz;77.5
2014;Rossenges;60
2014;Rossinière;81
2014;Rougemont;69
2014;Rovray;75
2014;Rueyres;73
2014;Saint-Barthélemy (VD);77
2014;Saint-Cergue;66
2014;Sainte-Croix;70
2014;Saint-George;68.5
2014;Saint-Livres;69
2014;Saint-Oyens;81
2014;Saint-Prex;55
2014;Saint-Sulpice (VD);55
2014;Sarzens;76
2014;Saubraz;83
2014;Savigny;67
2014;Senarclens;68.5
2014;Sergey;81
2014;Servion;69
2014;Sévery;78
2014;Signy-Avenex;56
2014;St-Légier-La Chiésaz;66
2014;St-Saphorin;60
2014;Suchy;68
2014;Sullens;72
2014;Suscévaz;66
2014;Syens;75.6
2014;Tannay;61
2014;Tartegnin;84
2014;Tévenon;73
2014;Tolochenaz;65
2014;Trélex;53
2014;Trey;80
2014;Treycovagnes;77
2014;Treytorrens;84
