Année;Commune;Taux
2020;Aclens;62
2020;Agiez;76
2020;Aigle;66
2020;Allaman;60
2020;Apples;74
2020;Arnex-sur-Nyon;70
2020;Arnex-sur-Orbe;71
2020;Arzier-Le Muids;64
2020;Assens;70
2020;Aubonne;68.5
2020;Avenches;66.5
2020;Ballaigues;65
2020;Ballens;73
2020;Bassins;72.5
2020;Baulmes;76.5
2020;Bavois;73
2020;Begnins;62.5
2020;Belmont-sur-Lausanne;72
2020;Belmont-sur-Yverdon;70
2020;Bercher;79
2020;Berolle;75.5
2020;Bettens;70
2020;Bex;71
2020;Bière;69
2020;Bioley-Magnoux;72
2020;Bioley-Orjulaz;68
2020;Blonay;68.5
2020;Bofflens;69
2020;Bogis-Bossey;74.5
2020;Bonvillars;55
2020;Borex;57
2020;Bottens;72.5
2020;Bougy-Villars;64.5
2020;Boulens;71.5
2020;Bourg-en-Lavaux;62.5
2020;Bournens;72
2020;Boussens;67.5
2020;Bremblens;68
2020;Bretigny-sur-Morrens;81
2020;Bretonnières;70.5
2020;Buchillon;52
2020;Bullet;71.5
2020;Bursinel;65.5
2020;Bursins;71
2020;Burtigny;80
2020;Bussigny;62.5
2020;Bussy-Chardonney;77
2020;Bussy-sur-Moudon;80
2020;Chamblon;66
2020;Champagne;65
2020;Champtauroz;77
2020;Champvent;71
2020;Chardonne;68
2020;Château-d'Oex;81.5
2020;Chavannes-de-Bogis;58
2020;Chavannes-des-Bois;68
2020;Chavannes-le-Chêne;75
2020;Chavannes-le-Veyron;77
2020;Chavannes-près-Renens;77.5
2020;Chavannes-sur-Moudon;73
2020;Chavornay;70.5
2020;Chêne-Pâquier;79
2020;Cheseaux-Noréaz;67
2020;Cheseaux-sur-Lausanne;73
2020;Chéserex;57
2020;Chessel;74
2020;Chevilly;74
2020;Chevroux;68.5
2020;Chexbres;67.5
2020;Chigny;62
2020;Clarmont;73.5
2020;Coinsins;51
2020;Commugny;55.5
2020;Concise;75
2020;Coppet;53
2020;Corbeyrier;74
2020;Corcelles-le-Jorat;77
2020;Corcelles-près-Concise;69
2020;Corcelles-près-Payerne;68.5
2020;Corseaux;67.5
2020;Corsier-sur-Vevey;66
2020;Cossonay;69.5
2020;Cottens (VD);74
2020;Crans (VD);56
2020;Crassier;68
2020;Crissier;63.5
2020;Cronay;77
2020;Croy;74
2020;Cuarnens;77
2020;Cuarny;77
2020;Cudrefin;59
2020;Cugy (VD);78
2020;Curtilles;73
