Année;Revenu ;Impôt;Supplément
2016;0;0;0
2016;30'800.00;25;1
2016;51'000.00;228;2
2016;58'500.00;379;3
2016;75'400.00;887;4
2016;90'400.00;1'488.00;5
2016;103'500.00;2'144.00;6
2016;114'800.00;2'823.00;7
2016;124'300.00;3'489.00;8
2016;131'800.00;4'090.00;9
2016;137'400.00;4'595.00;10
2016;141'300.00;4'986.00;11
2016;143'200.00;5'196.00;12
2016;145'100.00;5'425.00;13
2016;895'900.00;103'028.50;11.5
