Année;Revenu ;Impôt;Supplément
2016;0;0;0
2016;17'800.00;25.41;0.77
2016;31'700.00;132.53;0.88
2016;41'500.00;220.54;2.64
2016;55'300.00;585.17;2.97
2016;72'600.00;1'101.94;5.94
2016;78'200.00;1'435.20;6.6
2016;103'700.00;3'120.40;8.8
2016;134'700.00;5'850.60;11
2016;176'100.00;10'406.80;13.2
2016;755'300.00;86'859.50;11.5
