Année;Fortune;Impôt;Supplément
2016;0;0;0.24
2016;33'000.00;7.9;0.97
2016;89'000.00;62.2;1.69
2016;167'000.00;194;2.42
2016;335'000.00;600.55;3.15
2016;670'000.00;1'655.80;3.39
