Année;Commune;Taux
2016;Aclens;62
2016;Agiez;76
2016;Aigle;67.5
2016;Allaman;62
2016;Apples;76
2016;Arnex-sur-Nyon;70
2016;Arnex-sur-Orbe;73
2016;Arzier-Le Muids;64
2016;Assens;70
2016;Aubonne;68
2016;Avenches;68
2016;Ballaigues;66
2016;Ballens;69
2016;Bassins;71
2016;Baulmes;78
2016;Bavois;73
2016;Begnins;67
2016;Belmont-sur-Lausanne;69.5
2016;Belmont-sur-Yverdon;76
2016;Bercher;79
2016;Berolle;77
2016;Bettens;70
2016;Bex;71
2016;Bière;68
2016;Bioley-Magnoux;74
2016;Bioley-Orjulaz;66
2016;Blonay;70
2016;Bofflens;69
2016;Bogis-Bossey;70
2016;Bonvillars;55
2016;Borex;55
2016;Bottens;69
2016;Bougy-Villars;62
2016;Boulens;79
2016;Bourg-en-Lavaux;61
2016;Bournens;80
2016;Boussens;69
2016;Bremblens;66
2016;Brenles;78
2016;Bretigny-sur-Morrens;73
2016;Bretonnières;72
2016;Buchillon;53
2016;Bullet;70
2016;Bursinel;65.5
2016;Bursins;71
2016;Burtigny;80
2016;Bussigny;62
2016;Bussy-Chardonney;78
2016;Bussy-sur-Moudon;80
2016;Carrouge;76
2016;Chamblon;66
2016;Champagne;63
2016;Champtauroz;77
2016;Champvent;71
2016;Chardonne;68
2016;Château-d'Oex;83
2016;Chavannes-de-Bogis;59
2016;Chavannes-des-Bois;61
2016;Chavannes-le-Chêne;78
2016;Chavannes-le-Veyron;77
2016;Chavannes-près-Renens;79
2016;Chavannes-sur-Moudon;73
2016;Chavornay;72
2016;Chêne-Pâquier;79
2016;Chesalles-sur-Moudon;75
2016;Cheseaux-Noréaz;70
2016;Cheseaux-sur-Lausanne;74.5
2016;Chéserex;52
2016;Chessel;76
2016;Chevilly;74
2016;Chevroux;70
2016;Chexbres;64
2016;Chigny;62
2016;Clarmont;75
2016;Coinsins;41
2016;Commugny;57
2016;Concise;75
2016;Coppet;53
2016;Corbeyrier;70
2016;Corcelles-le-Jorat;77
2016;Corcelles-près-Concise;71
2016;Corcelles-près-Payerne;72
2016;Corcelles-sur-Chavornay;76
2016;Corseaux;64
2016;Corsier-sur-Vevey;66
2016;Cossonay;69.3
2016;Cottens (VD);74
2016;Crans (VD);53
2016;Crassier;64
2016;Cremin;77
2016;Crissier;65
2016;Cronay;79
2016;Croy;74
2016;Cuarnens;77
2016;Cuarny;79
2016;Cudrefin;59
2016;Cugy (VD);70
2016;Curtilles;72
2016;Daillens;71
2016;Démoret;81
2016;Denens;68
2016;Denges;62
2016;Dizy;79
2016;Dompierre (VD);80
2016;Donneloye;73
2016;Duillier;66
2016;Dully;49
2016;Echallens;74
2016;Echandens;62
2016;Echichens;68
2016;Eclépens;46
2016;Ecublens (VD);62
2016;Epalinges;66
2016;Ependes (VD);75
2016;Essertes;72
2016;Essertines-sur-Rolle;68
2016;Essertines-sur-Yverdon;73
2016;Essert-Pittet;75
2016;Etagnières;73
2016;Etoy;61
2016;Eysins;61
2016;Faoug;64
2016;Féchy;64
2016;Ferlens;76
2016;Ferreyres;76
2016;Fey;75
2016;Fiez;69
2016;Fontaines-sur-Grandson;69
2016;Forel;68
2016;Forel-sur-Lucens;75
2016;Founex;57
2016;Froideville;76
2016;Genolier;55
2016;Giez;66
2016;Gilly;66
2016;Gimel;71.5
2016;Gingins;57
2016;Givrins;61
2016;Gland;62.5
2016;Gollion;74
2016;Goumoëns;77
2016;Grancy;70
2016;Grandcour;79.5
2016;Grandevent;68
2016;Grandson;69
2016;Grens;62
2016;Gryon;75
2016;Henniez;67
2016;Hermenches;75
2016;Jongny;71
2016;Jorat-Menthue;72
2016;Jouxtens-Mézery;53
2016;Juriens;79
2016;La Chaux;77
2016;La Praz;83
2016;La Rippe;65
