Année;Fortune;Impôt;Supplément
2013;0.00;0.00;0.24
2013;33'000.00;7.90;0.97
2013;89'000.00;62.20;1.69
2013;167'000.00;194.00;2.42
2013;335'000.00;600.55;3.15
2013;670'000.00;1'655.80;3.39
