Année;Commune;Taux
2017;Sévery;75
2017;Signy-Avenex;58
2017;St-Légier-La Chiésaz;67
2017;St-Saphorin;67
2017;Suchy;70
2017;Sullens;70
2017;Suscévaz;72
2017;Syens;75.6
2017;Tannay;61
2017;Tartegnin;81
2017;Tévenon;73
2017;Tolochenaz;65
2017;Trélex;57
2017;Trey;80
2017;Treycovagnes;75
2017;Treytorrens;84
2017;Ursins;78
2017;Valbroye;73
2017;Valeyres-sous-Montagny;72
2017;Valeyres-sous-Rances;65
2017;Valeyres-sous-Ursins;79
2017;Vallorbe;73
2017;Vaulion;81
2017;Vaux-sur-Morges;56
2017;Vevey;73
2017;Veytaux;69
2017;Vich;68
2017;Villars-Epeney;60
2017;Villars-le-Comte;70
2017;Villars-le-Terroir;73
2017;Villars-Sainte-Croix;59
2017;Villars-sous-Yens;76
2017;Villarzel;79
2017;Villeneuve (VD);69
2017;Vinzel;67
2017;Vuarrens;75
2017;Vucherens;79
2017;Vufflens-la-Ville;67
2017;Vufflens-le-Château;55
2017;Vugelles-La Mothe;70
2017;Vuiteboeuf;77
2017;Vulliens;78
2017;Vullierens;76
2017;Vully-les-Lacs;67
2017;Yens;73
2017;Yverdon-les-Bains;76.5
2017;Yvonand;73
2017;Yvorne;71.5
