Année;Fortune;Impôt;Supplément
2023;0;0;0.24
2023;34'000.00;8.15;0.97
2023;92'000.00;64.4;1.69
2023;172'000.00;199.6;2.42
2023;344'000.00;615.85;3.15
2023;689'000.00;1'702.60;3.39
