Année;Revenu ;Impôt;Supplément
2023;0;0;0
2023;18'100.00;25.41;0.77
2023;32'200.00;133.95;0.88
2023;42'200.00;221.95;2.64
2023;56'200.00;591.55;2.97
2023;73'900.00;1'117.20;5.94
2023;79'600.00;1'455.75;6.6
2023;105'500.00;3'165.15;8.8
2023;137'200.00;5'954.75;11
2023;179'400.00;10'596.75;13.2
2023;769'600.00;88'503.15;12.35
2023;769'700.00;88'515.50;11.5
