Année;Commune;Taux
2023;Aclens;62
2023;Agiez;76
2023;Aigle;66
2023;Allaman;65
2023;Arnex-sur-Nyon;70
2023;Arnex-sur-Orbe;71
2023;Arzier-Le Muids;64
2023;Assens;70
2023;Aubonne;68
2023;Avenches;65
2023;Ballaigues;65
2023;Ballens;73
2023;Bassins;72.5
2023;Baulmes;76.5
2023;Bavois;72
2023;Begnins;62.5
2023;Belmont-sur-Lausanne;72
2023;Belmont-sur-Yverdon;70
2023;Bercher;79
2023;Berolle;75.5
2023;Bettens;70
2023;Bex;71
2023;Bière;69
2023;Bioley-Magnoux;72
2023;Blonay - Saint-Légier;68.5
2023;Bofflens;69
2023;Bogis-Bossey;72
2023;Bonvillars;57
2023;Borex;57
2023;Bottens;72.5
2023;Bougy-Villars;64.5
2023;Boulens;71.5
2023;Bourg-en-Lavaux;62.5
2023;Bournens;68
2023;Boussens;66
2023;Bremblens;68
2023;Bretigny-sur-Morrens;78
2023;Bretonnières;70.5
2023;Buchillon;52
2023;Bullet;70
2023;Bursinel;62
2023;Bursins;71
2023;Burtigny;78.5
2023;Bussigny;62.5
2023;Bussy-sur-Moudon;78.5
2023;Chamblon;66
2023;Champagne;65
2023;Champtauroz;77
2023;Champvent;70
2023;Chardonne;68
2023;Château-d'Oex;81.5
2023;Chavannes-de-Bogis;58
2023;Chavannes-des-Bois;68
2023;Chavannes-le-Chêne;75
2023;Chavannes-le-Veyron;75
2023;Chavannes-près-Renens;77.5
2023;Chavannes-sur-Moudon;70
2023;Chavornay;70.5
2023;Chêne-Pâquier;75
2023;Cheseaux-Noréaz;67
2023;Cheseaux-sur-Lausanne;73
2023;Chéserex;57
2023;Chessel;65
2023;Chevilly;71
2023;Chevroux;68.5
2023;Chexbres;67.5
2023;Chigny;62
2023;Clarmont;72
2023;Coinsins;51
2023;Commugny;57
2023;Concise;72
2023;Coppet;55
2023;Corbeyrier;74
2023;Corcelles-le-Jorat;75
2023;Corcelles-près-Concise;69
2023;Corcelles-près-Payerne;65
2023;Corseaux;67.5
2023;Corsier-sur-Vevey;64.5
2023;Cossonay;68
2023;Crans (VD);59
2023;Crassier;66.5
2023;Crissier;63.5
2023;Cronay;77
2023;Croy;74
2023;Cuarnens;76
2023;Cuarny;77
2023;Cudrefin;59
2023;Cugy (VD);76
2023;Curtilles;73
2023;Daillens;66
2023;Démoret;78
2023;Denens;65
2023;Denges;62
2023;Dizy;75
2023;Dompierre (VD);78
2023;Donneloye;73
2023;Duillier;66
2023;Dully;53
2023;Echallens;72.5
2023;Echandens;60.5
2023;Echichens;66
2023;Eclépens;46
2023;Ecublens (VD);62.5
2023;Epalinges;64.5
2023;Ependes (VD);73.5
