Année;Commune;Taux
2019;Aclens;62
2019;Agiez;76
2019;Aigle;67.5
2019;Allaman;62
2019;Apples;76
2019;Arnex-sur-Nyon;70
2019;Arnex-sur-Orbe;73
2019;Arzier-Le Muids;64
2019;Assens;70
2019;Aubonne;70
2019;Avenches;68
2019;Ballaigues;66
2019;Ballens;73
2019;Bassins;74
2019;Baulmes;78
2019;Bavois;73
2019;Begnins;64
2019;Belmont-sur-Lausanne;72
2019;Belmont-sur-Yverdon;76
2019;Bercher;79
2019;Berolle;77
2019;Bettens;70
2019;Bex;71
2019;Bière;70
2019;Bioley-Magnoux;74
2019;Bioley-Orjulaz;68
2019;Blonay;70
2019;Bofflens;69
2019;Bogis-Bossey;76
2019;Bonvillars;55
2019;Borex;58
2019;Bottens;74
2019;Bougy-Villars;66
2019;Boulens;73
2019;Bourg-en-Lavaux;64
2019;Bournens;76
2019;Boussens;69
2019;Bremblens;66
2019;Bretigny-sur-Morrens;81
2019;Bretonnières;72
2019;Buchillon;53
2019;Bullet;73
2019;Bursinel;65.5
2019;Bursins;71
2019;Burtigny;80
2019;Bussigny;64
2019;Bussy-Chardonney;77
2019;Bussy-sur-Moudon;80
2019;Chamblon;66
2019;Champagne;65
2019;Champtauroz;77
2019;Champvent;71
2019;Chardonne;68
2019;Château-d'Oex;83
2019;Chavannes-de-Bogis;59
2019;Chavannes-des-Bois;68
2019;Chavannes-le-Chêne;78
2019;Chavannes-le-Veyron;77
2019;Chavannes-près-Renens;79
2019;Chavannes-sur-Moudon;73
2019;Chavornay;72
2019;Chêne-Pâquier;79
2019;Cheseaux-Noréaz;70
2019;Cheseaux-sur-Lausanne;74.5
2019;Chéserex;57
2019;Chessel;74
2019;Chevilly;74
2019;Chevroux;70
2019;Chexbres;69
2019;Chigny;62
2019;Clarmont;75
2019;Coinsins;51
2019;Commugny;57
2019;Concise;75
2019;Coppet;53
2019;Corbeyrier;74
2019;Corcelles-le-Jorat;77
2019;Corcelles-près-Concise;71
2019;Corcelles-près-Payerne;70
2019;Corseaux;69
2019;Corsier-sur-Vevey;66
2019;Cossonay;71
2019;Cottens (VD);74
2019;Crans (VD);56
2019;Crassier;68
2019;Crissier;65
2019;Cronay;79
2019;Croy;74
2019;Cuarnens;77
2019;Cuarny;79
2019;Cudrefin;59
2019;Cugy (VD);78
2019;Curtilles;75
2019;Daillens;66
2019;Démoret;81
2019;Denens;70
2019;Denges;62
2019;Dizy;79
2019;Dompierre (VD);80
2019;Donneloye;73
2019;Duillier;66
2019;Dully;49
2019;Echallens;74
2019;Echandens;62
2019;Echichens;68
2019;Eclépens;46
2019;Ecublens (VD);64
2019;Epalinges;66
2019;Ependes (VD);75
2019;Essertes;72
2019;Essertines-sur-Rolle;68
2019;Essertines-sur-Yverdon;73
2019;Etagnières;73
2019;Etoy;61
2019;Eysins;61
2019;Faoug;66
2019;Féchy;64
2019;Ferreyres;76
2019;Fey;75
2019;Fiez;69
2019;Fontaines-sur-Grandson;69
2019;Forel (Lavaux);70
2019;Founex;57
2019;Froideville;76
2019;Genolier;55
2019;Giez;66
2019;Gilly;66
2019;Gimel;74.5
2019;Gingins;57
2019;Givrins;67
2019;Gland;62.5
2019;Gollion;74
2019;Goumoëns;77
2019;Grancy;70
2019;Grandcour;77
