Année;Fortune;Impôt;Supplément
2019;0;0;0.24
2019;33'000.00;7.9;0.97
2019;89'000.00;62.2;1.69
2019;167'000.00;194;2.42
2019;335'000.00;600.55;3.15
2019;670'000.00;1'655.80;3.39
