Année;Revenu ;Impôt;Supplément
2019;0;0;0
2019;30'800.00;25;1
2019;51'000.00;228;2
2019;58'500.00;379;3
2019;75'400.00;887;4
2019;90'400.00;1'488.00;5
2019;103'500.00;2'144.00;6
2019;114'800.00;2'823.00;7
2019;124'300.00;3'489.00;8
2019;131'800.00;4'090.00;9
2019;137'400.00;4'595.00;10
2019;141'300.00;4'986.00;11
2019;143'200.00;5'196.00;12
2019;145'100.00;5'425.00;13
2019;895'900.00;103'028.50;11.5
